,title,description,url,urlToImage,publishedAt,author,sumber,hasil_sentimen,probability
0,"Apple Jaga iPhone, Kabar Kurang Sedap dari Ponsel Lipat Google","Apple tetap menjaga target produksi iPhone sebanyak 220 juta unit hingga akhir 2022, sementara ponsel lipat Google tidak akan rilis hingga 2023.",https://www.viva.co.id/digital/piranti/1479201-apple-jaga-iphone-kabar-kurang-sedap-dari-ponsel-lipat-google,https://thumb.viva.co.id/media/frontend/thumbs3/2012/10/29/177367_google-apple_665_374.jpg,27 May 2022,Lazuardhi Utama,Viva.co.id,Positif,60.0
1,"Terkuak, Ini 7 Misteri Kematian Steve Jobs Sang Penemu Apple","Misteri kematian Steve Jobs, Pada tanggal 5 Oktober 2011, Steve Jobs meninggal setelah berjuang melawan kanker pankreas yang langka pada usia 56 tahun.",https://www.viva.co.id/digital/digilife/1479673-terkuak-ini-7-misteri-kematian-steve-jobs-sang-penemu-apple,https://thumb.viva.co.id/media/frontend/thumbs3/2018/08/04/5b65c5d14e265-terungkap-steve-job-suka-menghina-dan-pelit-ke-putrinya-sendiri_665_374.jpg,30 May 2022,Deddy Setiawan,Viva.co.id,Negatif,53.0
2,"5 Cara Membuat ID Apple, Mudah dan Anti Ribet!","Berita 5 Cara Membuat ID Apple, Mudah dan Anti Ribet! terbaru hari ini 2022-05-26 10:04:34 dari sumber yang terpercaya",https://www.viva.co.id/digital/digilife/1478757-5-cara-membuat-id-apple,https://thumb.viva.co.id/media/frontend/thumbs3/2014/01/03/235296_apple-ipad-mini-with-retina-display_665_374.jpg,26 May 2022,Dian Lestari Ningsih,Viva.co.id,Positif,70.0
3,Apple Adopsi Fitur di Android untuk iPhone 14,"Sejumlah perangkat Android sudah mendukung mode layar always-on. Salah satunya Samsung. Kini, fitur tersebut akan hadir di seri iPhone 14.",https://www.viva.co.id/digital/piranti/1479783-apple-adopsi-fitur-di-android-untuk-iphone-14,https://thumb.viva.co.id/media/frontend/thumbs3/2021/03/03/603eedc94df02-apple-iphone_665_374.jpg,30 May 2022,Lazuardhi Utama,Viva.co.id,Netral,59.0
4,"Niat Liburan, Wisatawan Malah Jadi Korban Jambret di Kuta Bali","Saat itu, handphone merek Apple XR warna putih milik korban sedang dipegang oleh temannya. Setelah berhasil dirampas jambret, pelaku kemudian kabur.",https://www.viva.co.id/berita/kriminal/1478324-niat-liburan-wisatawan-malah-jadi-korban-jambret-di-kuta-bali,https://thumb.viva.co.id/media/frontend/thumbs3/2021/03/24/605adaf9066de-pelaku-jambret-ditangkap-polisi_665_374.jpg,25 May 2022,Syahrul Ansyari,Viva.co.id,Negatif,57.0
5,Daftar Smartwatch yang Laku di Pasaran,Berita Daftar Smartwatch yang Laku di Pasaran terbaru hari ini 2022-06-01 17:50:01 dari sumber yang terpercaya,https://www.viva.co.id/digital/piranti/1480548-daftar-smartwatch-yang-laku-di-pasaran,https://thumb.viva.co.id/media/frontend/thumbs3/2020/02/23/5e51ac968ec95-smartwatch-honor_665_374.jpg,01 June 2022,Yunisa Herawati,Viva.co.id,Netral,64.0
6,5 Rekomendasi iPhone yang Masih Layak Beli di Tahun 2022,"Anda bisa menggunakan metode pembayaran cicilan barang online dari Kredivo untuk membeli iPhone bekas, yang masih layak dibeli pada tahun 2022.",https://www.viva.co.id/gaya-hidup/gaya/1479324-5-rekomendasi-iphone-yang-masih-layak-beli-di-tahun-2022,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/28/629177bd1bd98-ilustrasi-iphone_665_374.jpg,28 May 2022,Dera Fitri,Viva.co.id,Netral,47.0
7,Segini Harga Mobil Toyota Starlet Versi Baru,Baru-baru ini Toyota mengumumkan produk baru untuk kebutuhan pasar konsumennya. Mobil tersebut diberi nama All New Toyota Starlet.,https://www.viva.co.id/otomotif/mobil/1479188-segini-harga-mobil-toyota-starlet-versi-baru,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/27/6290b272a61e6-ilustrasi-gambar-mobil-all-new-toyota-starlet_665_374.jpg,27 May 2022,Muhammad Thoifur,Viva.co.id,Positif,59.0
8,Respons AMTD Group Diajak Airlangga Investasi di RI,"Airlangga Hartarto menghadiri pertemuan bilateral dengan Chairman of the Board of Directors AMTD Group, Dr. Calvin Choi. Dibahas juga tentang peluang investasi di RI",https://www.viva.co.id/berita/bisnis/1478206-respons-amtd-group-diajak-airlangga-investasi-di-ri,https://thumb.viva.co.id/media/frontend/thumbs3/2022/03/18/62348eb15f7ac-menko-perekonomian-airlangga-hartarto_665_374.jpg,24 May 2022,Fikri Halim,Viva.co.id,Netral,61.0
9,Perusahaan AI Jerman Merapat ke Indonesia,"Perusahaan teknologi berbasis kecerdasan buatan (AI) yang bergerak di terjemahan instan asal Jerman, DeepL, kini merangkul Indonesia.",https://www.viva.co.id/digital/startup/1481135-perusahaan-ai-jerman-merapat-ke-indonesia,https://thumb.viva.co.id/media/frontend/thumbs3/2022/06/03/6299825d74e25-deepl-translator_665_374.jpg,03 June 2022,Lazuardhi Utama,Viva.co.id,Netral,49.0
10,Deret Potret Keseruan Eddie Redmayne di Sudut New York-Tokyo,"&nbsp;Eddie Redmayne, aktor ternama asal Inggris, punya cara tersendiri untuk menghilangkan kejenuhan di tengah jadwalnya yang padat.",https://www.viva.co.id/gaya-hidup/inspirasi-unik/1480301-deret-potret-keseruan-eddie-redmayne-di-sudut-new-york-tokyo,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/31/6295e92655339-eddie-redmayne-aktor-asal-inggris_665_374.jpg,31 May 2022,Rochimawati,Viva.co.id,Netral,64.0
11,"SQUID, Aplikasi Media Berita Global Hadir di Indonesia","Peluncuran edisi Indonesia yang tersedia dalam bahasa Indonesia dan Inggris ini merupakan peluncuran yang ke-60, sejak diluncurkan pertama kali di Stockholm, Swedia.",https://www.viva.co.id/edukasi/1478247-squid-aplikasi-media-berita-global-hadir-di-indonesia,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/24/628cddb6efb4b-squid-aplikasi-media-berita-global-hadir-di-indonesia_665_374.jpg,24 May 2022,Syahdan Nurdin,Viva.co.id,Netral,74.0
12,"4 Cara Download Play Store di Laptop, Praktis Banget",Ada empat cara download play store di laptop. Ke empat cara tersebut tidaklah sulit karena tidak memakan waktu yang banyak dan sangat mudah tentunya.,https://www.viva.co.id/digital/digilife/1478125-cara-download-play-store-di-laptop,https://thumb.viva.co.id/media/frontend/thumbs3/2019/06/27/5d14732475223-7-cara-mengatasi-aplikasi-playstore-terhenti_665_374.jpg,24 May 2022,Nuvola Gloria,Viva.co.id,Netral,45.0
13,Cek Kesehatan Anda Hanya dengan Gunakan Jam Tangan Pintar,Jam tangan pintar atau smartwatch adalah sebuah perangkat pintar yang terhubung dengan smartphone berfungsi untuk membantu memberikan alert pada penggunanya.,https://www.viva.co.id/vstory/opini-vstory/1478074-cek-kesehatan-anda-hanya-dengan-gunakan-jam-tangan-pintar,https://thumb.viva.co.id/media/frontend/thumbs3/2022/05/24/628c84ffeb229-cek-kesehatan-anda-hanya-dengan-gunakan-jam-tangan-pintar_665_374.jpg,24 May 2022,Aura Amalia,Viva.co.id,Netral,61.0
14,"10 Rahasia Pemerintah Dunia yang Tersebar dan Mengejutkan, Benarkah?","Rahasia pemerintah dunia yang tersebar ini seharusnya tidak dirilis di waktu yang tidak tepat, tapi karena kebocoran dokumen semua bisa saja terjadi.",https://www.viva.co.id/berita/dunia/1477889-10-rahasia-pemerintah-dunia-yang-tersebar-nbsp-dan-mengejutkan-benarkah,https://thumb.viva.co.id/media/frontend/thumbs3/2016/09/04/57cba38f71e89-kumpulan-video-penampakan-ufo-di-indonesia-yang-misterius_665_374.jpg,24 May 2022,Dian Lestari Ningsih,Viva.co.id,Netral,54.0
15,TV & Aksesori Paling Awet dapatkan hanya di Bhinneka Diskon 1 Jutaan,"TV & Aksesori Paling Awet dapatkan hanya di Bhinneka Diskon 1 Jutaan. Berlaku hingga 30 Juni 2022. UNTUK PENAWARAN SELENGKAPNYA, KLIK DISINI Beragam keperluan IT dan telekomunikasi, perangkat elektronik, sampai… 
The post TV & Aksesori Paling Awet dapatkan ha…",https://katalogpromosi.com/tv-aksesori-paling-awet-dapatkan-hanya-di-bhinneka-diskon-1-jutaan/,https://katalogpromosi.com/wp-content/uploads/2022/03/TV-Bhinneka.jpg,03 June 2022,katalogpromosi_editor,Katalogpromosi.com,Netral,73.0
16,"Peringatan, Perusahaan Startup Hadapi Hari-hari yang Gelap","Masa bulan madu perusahaan startup tampaknya sudah berakhir. Banyak yang mulai mengencangkan ikat pinggang, tidak lagi mengumbar diskon, bahkan sampai PHK.",https://inet.detik.com/business/d-6100468/peringatan-perusahaan-startup-hadapi-hari-hari-yang-gelap,https://awsimages.detik.net.id/api/wm/2018/12/24/2ba0fffa-90a0-41d7-8fb9-675d8e8f59e4_169.jpeg?wid=54&w=650&v=1&t=jpeg,29 May 2022,Fino Yurio Kristo,Detik.com,Netral,54.0
17,Kami Ngobrol Bareng Musisi Pemula yang Nebeng Twit Viral Buat Promosi Soundcloud,"Di zaman masuk playlist Spotify adalah pencapaian keren, sejumlah musisi muda mencoba cara lain mempromosikan karya mereka. Caranya adalah nebeng twit yang sedang viral.",https://www.vice.com/id/article/bjan5d/kami-ngobrol-bareng-musisi-pemula-yang-nebeng-twit-viral-buat-promosi-soundcloud,https://video-images.vice.com/articles/5ba133f90bf88f0006b91504/lede/1537785136050-soundcloud_twitter_noisey.jpeg?image-resize-opts=Y3JvcD0xeHc6MXhoO2NlbnRlcixjZW50ZXImcmVzaXplPTEyMDA6KiZyZXNpemU9MTIwMDoq,28 May 2022,Alex Ekong,Vice News,Netral,75.0
